,core,excl.,low compl.,abs diff. core - excl.,abs diff. core - low compl.,z-val (core/excl.),p-val (core/excl.),z-val (core/low compl.),p-val (core/low compl.)
PhD,0.015,0.018,0.005,0.003,0.01,-0.308,0.758,1.585,0.113
Master degree,0.138,0.086,0.088,0.052,0.05,2.099,0.036,2.606,0.009
Some graduate education,0.033,0.05,0.045,0.017,0.012,-1.222,0.222,-1.107,0.268
Bachelor degree,0.332,0.339,0.291,0.007,0.041,-0.207,0.836,1.533,0.125
Professional degree,0.02,0.023,0.018,0.002,0.003,-0.214,0.831,0.354,0.723
Associate degree,0.109,0.09,0.123,0.018,0.014,0.809,0.418,-0.768,0.442
Some college,0.232,0.24,0.323,0.008,0.091,-0.254,0.8,-3.618,0.0
High school,0.111,0.136,0.095,0.024,0.016,-1.045,0.296,0.896,0.37
Some high school,0.008,0.014,0.01,0.005,0.002,-0.722,0.47,-0.281,0.779
other,0.001,0.005,0.003,0.004,0.002,-1.326,0.185,-0.803,0.422
