,prop. core,prop. excl.,prop. low compl.,abs. diff. core - excl.,abs. diff. core - low coml.,z-val (core/excl.),p-val (core/excl.),z-val (core/low compl.),p-val (core/low compl.)
18-19,3.1358885017421603,16.363636363636363,9.803921568627452,13.227747861894203,6.668033066885291,-5.691509884381865,1.2592086520906752e-08,-3.7953419877550836,0.00014744007594728542
20-24,11.149825783972126,16.363636363636363,23.52941176470588,5.213810579664237,12.379585980733754,-1.5421634886143112,0.12303387005568556,-4.326341753834698,1.5160614499408456e-05
25-29,18.466898954703833,19.090909090909093,21.07843137254902,0.6240101362052606,2.6115324178451864,-0.15418514226801786,0.8774637568542878,-0.8142125510602639,0.4155231965069839
30-34,14.45993031358885,17.272727272727273,12.254901960784313,2.8127969591384225,2.205028352804538,-0.7586773967196536,0.44804556136289675,0.7823943893677562,0.4339828301075451
35-39,13.066202090592336,8.181818181818182,9.313725490196079,4.884383908774154,3.752476600396257,1.4297985860116562,0.15277483504656336,1.4124947539383046,0.15780433428184448
40-44,9.40766550522648,4.545454545454546,7.8431372549019605,4.862210959771935,1.5645282503245204,1.663980080568999,0.09611641015247308,0.6707776583067465,0.5023621821985642
45-59,8.362369337979095,5.454545454545454,5.88235294117647,2.9078238834336405,2.4800163968026245,1.0360513579929003,0.30017818326289913,1.140453371125471,0.25409746846026227
50-54,6.445993031358885,7.2727272727272725,4.411764705882353,0.8267342413683876,2.0342283254765317,-0.32039783966284097,0.7486667630043458,1.0580984284786348,0.2900105708176731
55-59,6.445993031358885,2.727272727272727,2.941176470588235,3.718720304086158,3.50481656077065,1.5226529397492583,0.1278455575395949,1.8816906344942759,0.059878032086930634
60-64,3.8327526132404177,1.8181818181818181,1.9607843137254901,2.0145707950585994,1.8719682995149276,1.0519262307242954,0.2928333962043601,1.2778024724220123,0.2013190824233494
65-69,3.3101045296167246,0.0,0.49019607843137253,3.3101045296167246,2.819908451185352,1.9352381866900765,0.052961073722984746,2.185980265175863,0.028817049183687417
70-74,1.3937282229965158,0.9090909090909091,0.0,0.4846373139056067,1.3937282229965158,0.40862416621831327,0.6828154931410133,1.6949175121798128,0.09009106993364976
75-79,0.5226480836236934,0.0,0.0,0.5226480836236934,0.5226480836236934,0.759898379981097,0.4473153300598254,1.0345672160335462,0.3008710710572434
80-84,0.0,0.0,0.49019607843137253,0.0,0.49019607843137253,,,-1.6784953853148445,0.09325043058385565
