ages,male core,female core,male low comp.,female low comp.,male excluded,female excluded
15-19,1.53,1.7,5.01,5.01,8.14,5.43
20-24,5.44,7.56,12.03,7.52,8.14,8.14
25-29,9.01,5.44,10.78,9.77,9.5,9.95
30-34,7.05,5.95,6.27,7.27,8.6,4.52
35-39,6.37,4.5,4.76,2.76,4.07,3.62
40-44,4.59,6.2,4.01,6.02,2.26,4.52
45-49,4.08,5.61,3.01,3.76,2.71,2.71
50-54,3.14,3.82,2.26,3.01,3.62,5.43
55-59,3.14,4.08,1.5,2.01,1.36,2.71
60-64,1.87,3.65,1.0,0.75,0.9,1.36
65-69,1.61,2.29,0.25,0.5,0.0,1.36
70-74,0.68,0.42,0.0,0.5,0.45,0.45
sum,48.51,51.22,50.88,48.88,49.75,50.2
